,id,scientific_name,habit,status,conservation_state,Araucanía,Maule,Atacama,Antofagasta,Juan Fernández,Tarapacá,Metropolitana,Libertador Bernardo O'Higgins,Arica y Parinacota,Los Ríos,Ñuble,Coquimbo,Los Lagos,Magallanes,Bío-Bío,Valparaíso,Aysén
0,1583,Acrisione cymosa,Bush or Small tree,Endemic,Not Evaluated (NE),1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
1,5567,Acrisione denticulata,Bush,Native,Not Evaluated (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1585,Acrisione denticulata var. pilota,Bush,Endemic,Not Evaluated (NE),1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0
3,3523,Adenopeltis serrata,Bush,Endemic,Not Evaluated (NE),0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
4,3587,Adesmia aphylla,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,3590,Adesmia argentea,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
6,3591,Adesmia argyrophylla,Bush,Endemic,Vulnerable (VU),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3592,Adesmia aromatica,Bush,Endemic,Not Evaluated (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,3594,Adesmia atacamensis,Bush,Endemic,Not Evaluated (NE),0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
9,3596,Adesmia balsamica,Bush,Endemic,Vulnerable (VU),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10,3597,Adesmia bedwellii,Bush,Endemic,Not Evaluated (NE),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,3599,Adesmia bijuga,Bush,Endemic,Critically Endangered (CR),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3600,Adesmia boronioides,Bush,Native,Least Concern (LC),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,3602,Adesmia bracteata,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
14,3605,Adesmia calycicomosa,Bush,Endemic,Not Evaluated (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,3607,Adesmia colinensis,Bush,Endemic,Not Evaluated (NE),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
16,3608,Adesmia concinna,Bush,Endemic,Not Evaluated (NE),1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,3610,Adesmia confusa,Bush,Endemic,Not Evaluated (NE),0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
18,3611,Adesmia coquimbensis,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,3615,Adesmia curvifolia,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,3620,Adesmia dessaueri,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,3621,Adesmia dichotoma,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,3623,Adesmia dumosa,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,3626,Adesmia elegans,Bush,Endemic,Not Evaluated (NE),0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,3629,Adesmia erinacea,Bush,Native,Not Evaluated (NE),0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25,3638,Adesmia glutinosa,Bush,Endemic,Not Evaluated (NE),0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
26,3639,Adesmia godoyae,Bush,Endemic,Vulnerable (VU),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,3640,Adesmia gracilis,Bush,Native,Not Evaluated (NE),0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
