,accepted_species,accepted_full_name,accepted_family,taxonID,accepted_name_rank,accepted_species_source,original_species,original_full_name
0,Acrisione cymosa,Acrisione cymosa,Asteraceae,2121645,species,wcvp,Acrisione cymosa,Acrisione cymosa
1,Acrisione denticulata,Acrisione denticulata,Asteraceae,856531,species,tropicos,Acrisione denticulata,Acrisione denticulata denticulata
2,Acrisione denticulata,Acrisione denticulata var. pilota,Asteraceae,1452984,variety,wcvp,Acrisione denticulata,Acrisione denticulata pilota
3,Adenopeltis serrata,Adenopeltis serrata,Euphorbiaceae,1806825,species,wcvp,Adenopeltis serrata,Adenopeltis serrata
4,Adesmia aphylla,Adesmia aphylla,Fabaceae,184748,species,wcvp,Adesmia aphylla,Adesmia aphylla
5,Adesmia argentea,Adesmia argentea,Fabaceae,184755,species,wcvp,Adesmia argentea,Adesmia argentea
6,Adesmia argyrophylla,Adesmia argyrophylla,Fabaceae,184756,species,wcvp,Adesmia argyrophylla,Adesmia argyrophylla
7,Adesmia aromatica,Adesmia aromatica,Fabaceae,182507,species,wcvp,Adesmia aromatica,Adesmia aromatica
8,Adesmia atacamensis,Adesmia atacamensis,Fabaceae,184759,species,wcvp,Adesmia atacamensis,Adesmia atacamensis
9,Adesmia balsamica,Adesmia balsamica,Fabaceae,184766,species,wcvp,Adesmia balsamica,Adesmia balsamica
10,Adesmia bedwellii,Adesmia bedwellii,Fabaceae,184767,species,wcvp,Adesmia bedwellii,Adesmia bedwellii
11,Adesmia bijuga,Adesmia bijuga,Fabaceae,184769,species,wcvp,Adesmia bijuga,Adesmia bijuga
12,Adesmia boronioides,Adesmia boronioides,Fabaceae,1497267,species,wcvp,Adesmia boronioides,Adesmia boronioides
13,Adesmia bracteata,Adesmia bracteata,Fabaceae,184774,species,wcvp,Adesmia bracteata,Adesmia bracteata
14,Adesmia calycicomosa,Adesmia calycicomosa,Fabaceae,182509,species,wcvp,Adesmia calycicomosa,Adesmia calycicomosa
15,Adesmia colinensis,Adesmia colinensis,Fabaceae,2183669,species,wcvp,Adesmia colinensis,Adesmia colinensis
16,Adesmia concinna,Adesmia concinna,Fabaceae,184798,species,wcvp,Adesmia concinna,Adesmia concinna
17,Adesmia confusa,Adesmia confusa,Fabaceae,246451,species,wcvp,Adesmia confusa,Adesmia confusa
18,Adesmia coquimbensis,Adesmia coquimbensis,Fabaceae,182511,species,wcvp,Adesmia coquimbensis,Adesmia coquimbensis
19,Adesmia curvifolia,Adesmia curvifolia,Fabaceae,184805,species,wcvp,Adesmia curvifolia,Adesmia curvifolia
20,Adesmia dessaueri,Adesmia dessaueri,Fabaceae,2183672,species,wcvp,Adesmia dessaueri,Adesmia dessaueri
21,Adesmia dichotoma,Adesmia dichotoma,Fabaceae,184819,species,wcvp,Adesmia dichotoma,Adesmia dichotoma
22,Adesmia dumosa,Adesmia dumosa,Fabaceae,184824,species,wcvp,Adesmia dumosa,Adesmia dumosa
23,Adesmia elegans,Adesmia elegans,Fabaceae,184827,species,wcvp,Adesmia elegans,Adesmia elegans
24,Adesmia erinacea,Adesmia erinacea,Fabaceae,184831,species,wcvp,Adesmia erinacea,Adesmia erinacea
